higherseed,lowerseed,spread,covered
Virginia,Auburn,5.5,No
Michigan St,Texas Tech,3,No
Duke,Michigan St,2,No
Kentucky,Auburn,4.5,No
Gonzaga,Texas Tech,5,No
Duke,Virginia Tech,7.5,No
Michigan St,LSU,6,Yes
Virginia,Oregon,8,No
Tennessee,Purdue,1,No
North Carolina,Auburn,5,No
Kentucky,Houston,2,Yes
Gonzaga,Florida St,7,Yes
Michigan,Texas Tech,2,No
Duke,UCF,13,No
Virginia Tech,Liberty,9.5,No
Michigan St,Minnesota,10.5,Yes
LSU,Maryland,2.5,No
Virginia,Oklahoma,11,Yes
Tennessee,Iowa,8,No
Purdue,Villanova,3,Yes
Oregon,UC Irvine,4.5,Yes
North Carolina,Washington,11.5,Yes
Kentucky,Wofford,5,Yes
Houston,Ohio St,5.5,Yes
Kansas,Auburn,1,No
Gonzaga,Baylor,14,No
Michigan,Florida,7,Yes
Texas Tech Buffalo,,3.5,Yes
Florida St,Murray St,5,Yes
Duke,North Dakota St,27,No
Michigan St,Bradley,19.5,No
LSU,Yale,8,No
Virginia Tech,Saint Louis,10,Yes
Mississippi St,Liberty,7.5,No
Maryland,Belmont,3.5,No
Louisville,Minnesota,4.5,No
VCU,UCF,1.5,Yes
Virginia,Gardner Webb,24,No
Tennessee,Colgate,17.5,No
Purdue,Old Dominion,12,Yes
Kansas St,UC Irvine,5.5,No
Wisconsin,Oregon,1.5,No
Villanova,Saint Mary's,5,No
Cincinnati,Iowa,4,No
Mississippi,Oklahoma,2,No
North Carolina,Iona,25,No
Kentucky,Abilene Christian,22,Yes
Houston,Georgia St,12,Yes
Kansas,Northeastern,8.5,Yes
Auburn,New Mexico St,7.5,No
Iowa St,Ohio St,6,No
Wofford,Seton Hall,3,Yes
Utah St,Washington,3.5,No
Gonzaga,Fairleigh Dickinson,26.5,Yes
Michigan,Montana,16,Yes
Florida St,Vermont,11,No
Marquette,Murray St,4,No
Buffalo,Arizona St,4.5,Yes
Nevada,Florida,2.5,No
Syracuse,Baylor,2,No
Fairleigh Dickinson,Prairie View A&M,0,Yes
Belmont,Temple,3.5,Yes
Arizona St,St John's,1,Yes
North Carolina Central,North Dakota St,5.5,No
